,command_at_incident,complaint_id
0,075 PCT,1364
1,046 PCT,825
2,044 PCT,763
3,NARCBBN,746
4,079 PCT,737
5,067 PCT,710
6,073 PCT,688
7,047 PCT,687
8,077 PCT,671
9,NARCBBS,592
10,WARRSEC,582
11,NARCBBX,554
12,101 PCT,536
13,120 PCT,514
14,052 PCT,501
15,PBBX,500
16,113 PCT,499
17,070 PCT,496
18,040 PCT,477
19,048 PCT,476
20,083 PCT,456
21,NARCBQN,453
22,071 PCT,424
23,069 PCT,418
24,081 PCT,410
25,043 PCT,394
26,041 PCT,391
27,PSA 7,379
28,032 PCT,352
29,042 PCT,335
30,023 PCT,326
31,025 PCT,325
32,103 PCT,324
33,105 PCT,309
34,NARCBMN,308
35,PBBN,304
36,NARCBSI,286
37,049 PCT,274
38,034 PCT,270
39,121 PCT,252
40,090 PCT,244
41,PSA 5,239
42,PSA 3,236
43,PSA 1,230
44,072 PCT,229
45,PSA 8,228
46,033 PCT,226
47,PSA 2,226
48,060 PCT,213
49,028 PCT,202
50,063 PCT,197
51,030 PCT,193
52,110 PCT,192
53,050 PCT,184
54,102 PCT,182
55,115 PCT,182
56,104 PCT,170
57,MTN PCT,153
58,009 PCT,148
59,GANG BN,147
60,010 PCT,146
61,062 PCT,144
62,PSA 6,142
63,122 PCT,140
64,024 PCT,139
65,INT CIS,138
66,068 PCT,136
67,007 PCT,135
68,114 PCT,133
69,045 PCT,129
70,MTS PCT,129
71,006 PCT,123
72,109 PCT,121
73,084 PCT,120
74,PSA 9,119
75,088 PCT,115
76,PBBX AC,115
77,PSA 4,115
78,106 PCT,112
79,107 PCT,109
80,061 PCT,108
81,PBBN AC,106
82,GANG Q,106
83,112 PCT,105
84,001 PCT,102
85,GANG BX,95
86,019 PCT,95
87,123 PCT,94
88,PBMN,93
89,108 PCT,92
90,MN IRT,92
91,PBBS SU,91
92,PBQ/S,88
93,NARCBMS,81
94,100 PCT,81
95,005 PCT,81
96,SRG,78
97,076 PCT,75
98,PBBS,73
99,094 PCT,73
100,HBM IRT,71
101,GANG BS,71
102,TB DT30,67
103,NARCBQS,67
104,020 PCT,67
105,PBMN TF,66
106,P A T U,66
107,PBMS AC,65
108,013 PCT,65
109,026 PCT,61
110,BX IRT,59
111,TB DT33,58
112,PBBN SU,57
113,PBMS,53
114,H SP OP,52
115,TB DT04,51
116,017 PCT,50
117,TB,50
118,078 PCT,46
119,PBBS AC,43
120,TB DT03,41
121,TB DT02,40
122,HBK RT,38
123,047 DET,38
124,GANG M,38
125,GANG MN,37
126,BN IRT,37
127,PBBX TF,35
128,PBBS TF,35
129,TB M/TF,34
130,066 PCT,34
131,TB DT32,34
132,PBBX SU,33
133,HBK IRT,31
134,NAR DIV,30
135,PBSI,30
136,HWY 02,30
137,TB DT01,29
138,BX/S-ND,28
139,HWY 01,28
140,HWY 03,27
141,SOD SRG,26
142,PBQ/N,26
143,O C C B,26
144,HBM RT,26
145,PBQS SU,25
146,SRG 2,24
147,PBBN TF,24
148,PBSI TF,23
149,ND SI I,21
150,111 PCT,21
151,113 DET,21
152,BX/Q IM,20
153,ND EH I,20
154,TB DT12,20
155,PBMN AC,19
156,SRG 1,19
157,PBBX SC,19
158,TB DT20,18
159,CPK PCT,18
160,TRF/MTF,17
161,083 DET,17
162,CW T TF,17
163,TB DT34,17
164,077 DET,17
165,GANG QS,16
166,PBMN SC,16
167,ND BXSI,16
168,MAN CT,16
169,105 DET,16
170,ESS 07,15
171,DB BXSV,15
172,PBMS TF,15
173,PBMS SU,15
174,ND CH I,14
175,PBBN SC,14
176,075 DET,14
177,SATNOPS,14
178,073 DET,14
179,QS IRT,14
180,034 DET,13
181,BS IRT,13
182,ND SEQI,13
183,DB GLD,12
184,SRG 3,12
185,071 DET,12
186,E S U,12
187,081 DET,12
188,TB Q/TF,12
189,043 DET,12
190,PBQN AC,12
191,DBMN OP,12
192,PA UPTU,11
193,PBMN SU,11
194,GVSD Z1,11
195,TB BXTF,11
196,H BX/Q,11
197,M/S-ND,11
198,BKLN CT,10
199,AUTO CD,10
200,088 DET,10
201,046 DET,10
202,JUV CRM,10
203,GANG SI,10
204,TB ATU,9
205,PBQS AC,9
206,TB DT11,9
207,067 DET,9
208,B/S-WND,9
209,JT T/F,8
210,079 DET,8
211,SS DIV,8
212,PBSI AC,8
213,Q/N-ND,8
214,042 DET,8
215,HWY DST,8
216,VE BSSI,8
217,QB SSZN,8
218,SRG 5,8
219,HWY 05,8
220,I.A.B.,8
221,HBX/QIM,8
222,063 DET,8
223,ND BXCI,8
224,045 DET,8
225,MTS DET,8
226,TB BKTF,8
227,013 DET,8
228,ESS 05,8
229,DB HATE,8
230,040 DET,7
231,PBQN SU,7
232,PBQNT/F,7
233,ESS 03,7
234,DB CEIS,7
235,SOD T/U,7
236,M E L D,7
237,GVS DIV,7
238,SIHU,7
239,B/S-END,6
240,090 DET,6
241,094 DET,6
242,TD DT33,6
243,QS GANG,6
244,ESS 01,6
245,041 DET,6
246,VED BX,6
247,PBQST/F,6
248,123 DET,6
249,VICE ED,5
250,VED ZN1,5
251,MTN DET,5
252,DB BXHM,5
253,ESS 08,5
254,LDS TRN,5
255,120 DET,5
256,TD DT12,5
257,TD DT11,5
258,TB DT23,5
259,TB SOD,5
260,HBXQ RT,5
261,REC TNG,5
262,P C O,5
263,050 DET,4
264,020 DET,4
265,030 DET,4
266,007 DET,4
267,WTC CMD,4
268,100 DET,4
269,INT OAS,4
270,Q SVS,4
271,DB SVD,4
272,QS NARC,4
273,SI IRT,4
274,DBBX OP,4
275,M/S-DND,4
276,ESS 02,4
277,BUS UT,4
278,TD DT02,4
279,TD DT32,4
280,109 DET,4
281,VED ZN2,4
282,052 DET,3
283,PBMS SC,3
284,INT UOU,3
285,LIC DIV,3
286,ESU CAN,3
287,GVSD Z2,3
288,MC/SQD,3
289,DB FCTF,3
290,ND Q/NI,3
291,PBSI SU,3
292,GANG QN,3
293,TB H/O,3
294,VED Q,3
295,D-E T/F,3
296,VE BK/N,3
297,010 DET,3
298,C R C,3
299,SP FRDS,3
300,BX/N-ND,3
301,HQ SEC,2
302,HWY 04,2
303,INT EPU,2
304,PBBS SC,2
305,044 DET,2
306,TB CAN,2
307,PB EMD,2
308,QNS CT,2
309,QNROBSQ,2
310,MED DIV,2
311,102 DET,2
312,T.A.R.U,2
313,001 DET,2
314,CENROBB,2
315,ESS 04,2
316,DB CRD,2
317,C C SQD,2
318,FOR INV,2
319,DB MSVS,2
320,D C P I,2
321,DBMN,2
322,114 DET,2
323,060 DET,2
324,ESS 09,2
325,107 DET,2
326,FLT SVC,2
327,BKROBSQ,2
328,023 DET,1
329,TB C/AN,1
330,CA SECT,1
331,SRG 4,1
332,BX CT,1
333,048 DET,1
334,BK SVS,1
335,BK IMP,1
336,COMMSEC,1
337,084 DET,1
338,A P DIV,1
339,122 DET,1
340,006 DET,1
341,TD DT01,1
342,POL ACD,1
343,CPK DET,1
344,026 DET,1
345,F.T.S.,1
346,ESS 06,1
347,DBQS OP,1
348,DBM ZN2,1
349,068 DET,1
350,ND NMI,1
351,070 DET,1
352,O C I D,1
353,OMAP,1
354,DB BX,1
355,DB BSVS,1
356,032 DET,1
357,PBQS SC,1
358,DA QNS,1
359,028 DET,1
360,GANG DV,1
